subject_id,extraversion,extraversion_1,extraversion_2,extraversion_3,extraversion_4,extraversion_5,agreeableness,agreeableness_1,agreeableness_2,agreeableness_3,agreeableness_4,agreeableness_5,conscientiousness,conscientiousness_1,conscientiousness_2,conscientiousness_3,conscientiousness_4,conscientiousness_5
1,4.0,5.0,5.0,2.0,5.0,3.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0
2,3.0,4.0,3.0,3.0,4.0,2.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0
3,4.0,5.0,4.0,2.0,3.0,4.0,3.0,1.0,3.0,5.0,3.0,3.0,3.0,1.0,4.0,5.0,2.0,1.0
4,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0
5,3.0,3.0,5.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,5.0
6,3.0,5.0,4.0,1.0,3.0,1.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,5.0,2.0,5.0,4.0
7,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0
8,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0
9,2.0,2.0,3.0,2.0,3.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,1.0,4.0,3.0,5.0
10,4.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,5.0
11,2.0,2.0,4.0,2.0,1.0,2.0,5.0,5.0,3.0,4.0,5.0,5.0,2.0,4.0,2.0,3.0,2.0,4.0
12,2.0,4.0,4.0,2.0,2.0,2.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0
13,3.0,2.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,5.0,2.0
14,1.0,1.0,3.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,5.0,4.0
15,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0
16,2.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0
17,2.0,2.0,4.0,1.0,3.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0
18,3.0,4.0,3.0,4.0,3.0,1.0,4.0,2.0,4.0,2.0,3.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0
19,2.0,4.0,3.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,2.0,3.0
